user_id,recommended_items
285,1726380 561002 1281879 2676153 1898571
902,1878292 1776696 1206860 1984569 399435
948,1053542 2382795 1961467 2614160 1244196
1183,1664426 1096406 2214708 2393265 2117630
1286,1835008 2621441 131076 2190835 2359303
1509,892333 2467273 1865831 568223 2182715
1776,1757758 1277140 1687056 588206 2468340
1982,2778525 1244196 1386412 657183 2791339
2742,2778525 1244196 1386412 657183 2791339
3161,472040 2755931 1352448 1188603 416914
3256,2786666 1244196 1593341 698025 2280539
3375,272403 2478597 1130008 493250 891705
3547,2778525 1244196 1386412 657183 2791339
3630,415358 714699 374376 447985 1443706
